,Detector Type,Detector Time,#KP,Descriptor Type,Descriptor Time,Matcher Type,Selector Type,Matching Time,#Matched KP
6,AKAZE,110.775,175,SIFT,32.6472,MAT_BF,SEL_NN,0.709879,175
7,AKAZE,109.333,175,SIFT,35.6299,MAT_BF,SEL_NN,0.8983209999999999,175
0,AKAZE,111.21600000000001,159,BRIEF,3.0839,MAT_BF,SEL_NN,0.636558,157
1,AKAZE,124.228,154,BRIEF,2.85351,MAT_BF,SEL_NN,0.579132,159
2,AKAZE,115.288,162,BRIEF,3.00726,MAT_BF,SEL_NN,0.496438,154
3,AKAZE,102.838,163,BRIEF,1.18497,MAT_BF,SEL_NN,0.853216,162
4,AKAZE,98.787,173,BRIEF,3.33796,MAT_BF,SEL_NN,0.648883,163
5,AKAZE,98.8043,175,BRIEF,2.91554,MAT_BF,SEL_NN,0.6242880000000001,173
6,AKAZE,101.976,175,BRIEF,2.64812,MAT_BF,SEL_NN,0.637592,175
7,AKAZE,97.624,175,BRIEF,2.9452,MAT_BF,SEL_NN,0.476716,175
0,SHITOMASI,17.7627,123,SIFT,21.9606,MAT_FLANN,SEL_NN,2.52402,118
1,SHITOMASI,19.0165,120,SIFT,25.2189,MAT_FLANN,SEL_NN,3.1272900000000003,123
2,SHITOMASI,16.9442,120,SIFT,22.0205,MAT_FLANN,SEL_NN,2.42073,120
3,SHITOMASI,14.8864,113,SIFT,21.0624,MAT_FLANN,SEL_NN,1.95682,120
4,SHITOMASI,17.479,114,SIFT,23.0576,MAT_FLANN,SEL_NN,2.6,113
5,SHITOMASI,15.6191,123,SIFT,22.3692,MAT_FLANN,SEL_NN,2.676,114
6,SHITOMASI,15.8878,111,SIFT,20.4656,MAT_FLANN,SEL_NN,1.88758,123
7,SHITOMASI,17.0647,112,SIFT,20.6084,MAT_FLANN,SEL_NN,3.99249,111
0,FAST,2.7379700000000002,404,BRIEF,3.0158,MAT_BF,SEL_NN,2.8298400000000004,427
1,FAST,2.94413,423,BRIEF,3.3948099999999997,MAT_BF,SEL_NN,2.48847,404
2,FAST,2.53684,386,BRIEF,1.33285,MAT_BF,SEL_NN,2.1337200000000003,423
3,FAST,2.25244,414,BRIEF,1.77102,MAT_BF,SEL_NN,1.60985,386
4,FAST,2.42949,418,BRIEF,1.46002,MAT_BF,SEL_NN,2.1543200000000002,414
5,FAST,2.35055,406,BRIEF,1.6318700000000002,MAT_BF,SEL_NN,3.7577599999999998,418
6,FAST,2.47474,396,BRIEF,2.9863299999999997,MAT_BF,SEL_NN,2.83743,406
7,FAST,3.25335,401,BRIEF,1.92639,MAT_BF,SEL_NN,2.34524,396
0,FAST,3.1232900000000003,404,FREAK,34.8408,MAT_BF,SEL_KNN,2.6808799999999997,247
1,FAST,1.9487299999999999,423,FREAK,32.6069,MAT_BF,SEL_KNN,2.69913,233
2,FAST,2.23638,386,FREAK,32.2882,MAT_BF,SEL_KNN,3.01087,255
3,FAST,2.1924099999999997,414,FREAK,33.1463,MAT_BF,SEL_KNN,2.51841,231
4,FAST,2.39681,418,FREAK,31.4639,MAT_BF,SEL_KNN,2.05145,265
5,FAST,2.0434,406,FREAK,31.1274,MAT_BF,SEL_KNN,3.55595,251
6,FAST,2.14332,396,FREAK,30.3323,MAT_BF,SEL_KNN,1.90127,253
7,FAST,3.31494,401,FREAK,29.6562,MAT_BF,SEL_KNN,1.8824,247
0,SHITOMASI,16.5731,123,FREAK,32.6782,MAT_FLANN,SEL_NN,1.7857299999999998,118
1,SHITOMASI,16.7235,120,FREAK,30.2043,MAT_FLANN,SEL_NN,2.48102,123
2,SHITOMASI,18.3507,120,FREAK,30.5537,MAT_FLANN,SEL_NN,2.46939,120
3,SHITOMASI,16.8577,113,FREAK,32.3507,MAT_FLANN,SEL_NN,1.73565,120
4,SHITOMASI,17.2867,114,FREAK,30.8916,MAT_FLANN,SEL_NN,2.31199,113
5,SHITOMASI,17.5254,123,FREAK,34.9238,MAT_FLANN,SEL_NN,2.41013,114
6,SHITOMASI,18.6665,111,FREAK,31.0721,MAT_FLANN,SEL_NN,2.40951,123
7,SHITOMASI,17.5873,112,FREAK,32.8834,MAT_FLANN,SEL_NN,1.61704,111
0,BRISK,204.582,276,ORB,16.8353,MAT_BF,SEL_NN,2.74792,274
1,BRISK,206.96400000000003,275,ORB,12.805,MAT_BF,SEL_NN,0.974615,276
2,BRISK,200.733,293,ORB,12.6657,MAT_BF,SEL_NN,0.9937540000000001,275
